答案,題號,題目,選項1,選項2,選項3,選項4,解析
4,1,ESG 涵蓋內容不包含以下何者?,社會責任,環境保護,公司治理,政府保護,"ESG是3個英文單字的縮寫,分別是環境保護(E即environment)、社會責任(S即 social)和公司治理(G 即 governance),聯合國全球契約(UN Global Compact)於2004年首次提出ESG的概念,被視為評估一間企業經營的指標。"
2,2,ESG中的E是希望公司能做到以下何者?,排放溫室氣體,水汙染防治系統,破壞生物多樣性,增加能源開採,環境保護(E即 environment):溫室氣體排放、水及污水管理、生物多樣性等環境污染防治與控制。
2,3,永續發展的三個方面是什麼?,環境、科技、法律,經濟、社會、環境,政府、企業、消費者,人權、教育、公平,"永續發展,必須於經濟、社會、環境三個面向取得平衡與協調。"
1,4,"綠天鵝事件(Green Swan event)是由國際清算銀行(BIS)於2020年提出,強調什麼重要性?",氣候變化和環境風險對金融體系的重要性,強調歷史數據和模型的重要性,受保護的綠色鳥類物種發生重大變化的重要性,氣候變化引起的社會不穩定,"綠天鵝事件(Green Swan event)是由國際清算銀行(BIS)於2020 年提出的,而綠天鵝事件則特別指涉與環境和氣候變化相關的突發事件。它們可能包括極端天氣事件(如颶風、洪水、乾旱)、生物多樣性喪失、極端氣候事件的頻率增加等。這些事件可能對經濟永續發展相關規範與實務體系、金融市場、公司業務運營和社會產生深遠的影響,並可能引發金融風險和市場不穩定"
2,5,"國際清算銀行(BIS)於2020年1月20日發佈報告,報告中提及氣候變遷可能帶來哪一項事件,並引發全球金融危機?",黑天鵝事件,綠天鵝事件,灰犀牛事件,綠犀牛事件,"綠天鵝事件(Green Swan event)是由國際清算銀行(BIS)於2020 年提出的,而綠天鵝事件則特別指涉與環境和氣候變化相關的突發事件。它們可能包括極端天氣事件(如颶風、洪水、乾旱)、生物多樣性喪失、極端氣候事件的頻率增加等。這些事件可能對經濟永續發展相關規範與實務體系、金融市場、公司業務運營和社會產生深遠的影響,並可能引發金融風險和市場不穩定"
2,6,綠天鵝事件指的是什麼?,環境保護運動引發的全球性示威活動,極端氣候引發系統性金融危機,綠色鳥類物種集體死亡事件,COVID-19 全球大流行,"根據 BIS 報告,「綠天鵝」類似大家熟知的「黑天鵝」,同樣具有高度不確定性,且超出正常預期範圍的極端氣候,將很可能引發系統性金融危機。"
4,7,聯合國環境規劃署(UNEP)將永續金融涵蓋面向定義為下列何者?,氣候、社會、經濟與治理,保育、社會、經濟與治理,環境、人權、經濟與治理,環境、社會、經濟與治理,"聯合國環境規劃署(UNEP)將永續金融涵蓋面向,劃分為環境、社會、經濟與治理四大主題。"
3,8,"金融業將ESG規範納入決策機制,其用意不包含下列哪一項?","投資授信之參考,運用ESG來審視投融資對象","授信、投資或金融商品之業務方向,引導企業與投資人重視永續議題",鼓勵企業追求短期盈利和高風險投資,提升金融業的競爭力和長期價值,"其實對金融業而言,發展永續金融不只是表徵在市場規模的擴大,更重要的是,能否透過永續金融發展,喚醒各界對於永續議題,乃至於是氣候變遷的重視與認知,並儘速採取實際行動,進而強化因應韌性。也因此可以觀察到,愈來愈多金融機構已將 ESG納入決策機制,比如做為投資授信之參考,運用ESG來審視投融資對象。ESG 績效欠佳的承貸戶,貸款條件審查傾向嚴格,資金成本也可能連帶攀升。其目的在於透過授信,投資或金融商品之渠道, 引導企業與投資人能夠重視永續議題,逐步往永續目標邁進。當然除此之外,金融機構也必須善盡公司治理本份,遵循國際ESG 的原則與規範,並提升ESG資訊揭露品質與透明度。"
1,9,"聯合國環境規劃署(UNEP),將永續金融劃分為環境、社會、經濟與治理,其中環境面向不包含下列哪一項?",數位金融,低碳金融,氣候金融,綠色金融,"國際間也的確多以ESG 原則來定義永續金融範疇,聯合國環境規劃署(UNEP),把社會、治理也納入考量,故而將永續金融涵蓋面向,劃分為環境、社會、經濟與治理四大主題。其中針對環境面向又可針對聚焦議題大小之差別,由小到大分為如下之低碳、氣候與綠色金融。"
2,10,"請問金融活動可協助降低溫室氣體排放,及減少氣候變遷的衝擊影響是下列哪一項的內容?",低碳金融,氣候金融,綠色金融,環境金融,"氣候金融:金融活動可協助降低溫室氣體排放,及減少氣候變遷的衝擊影響。"
